Eligibility Year,Eligibility Month,County,Plan Name,Number of Enrollees
2019,7,NEW YORK,AFFINITY HEALTH PLAN,602
2019,7,NEW YORK,AMERIGROUP NY,1759
2019,7,NEW YORK,FIDELIS HC NY,1880
2019,7,NEW YORK,HEALTHFIRST,4046
2019,7,NEW YORK,HIP,567
2019,7,NEW YORK,METROPLUS,1145
2019,7,NEW YORK,UNITED HEALTHCARE COMM PLAN,899
2019,7,NEW YORK,WELLCARE,267
2019,7,NIAGARA,FIDELIS HC NY,2592
2019,7,NIAGARA,HEALTHNOW,207
2019,7,NIAGARA,INDEPENDENT HEALTH,719
2019,7,NIAGARA,UNITED HEALTHCARE COMM PLAN,157
2019,7,NIAGARA,WELLCARE,28
2019,7,ONEIDA,CDPHP,27
2019,7,ONEIDA,EXCELLUS,1496
2019,7,ONEIDA,FIDELIS HC NY,3284
2019,7,ONEIDA,MVP,56
2019,7,ONEIDA,UNITED HEALTHCARE COMM PLAN,199
2019,7,ONONDAGA,EXCELLUS,2133
2019,7,ONONDAGA,FIDELIS HC NY,4683
2019,7,ONONDAGA,TOTAL CARE,712
2019,7,ONONDAGA,UNITED HEALTHCARE COMM PLAN,721
2019,7,ONTARIO,EXCELLUS,2105
2019,7,ONTARIO,FIDELIS HC NY,245
2019,7,ONTARIO,MVP,171
2019,7,ONTARIO,UNITED HEALTHCARE COMM PLAN,43
2019,7,ONTARIO,UNIVERA COMMUNITY HEALTH INC,25
2019,7,ORANGE,AFFINITY HEALTH PLAN,1572
2019,7,ORANGE,CDPHP,86
2019,7,ORANGE,FIDELIS HC NY,5571
2019,7,ORANGE,MVP,2751
2019,7,ORANGE,UNITED HEALTHCARE COMM PLAN,504
2019,7,ORANGE,WELLCARE,389
2019,7,ORLEANS,EXCELLUS,312
2019,7,ORLEANS,FIDELIS HC NY,512
2019,7,ORLEANS,HEALTHNOW,118
2019,7,OSWEGO,EXCELLUS,441
2019,7,OSWEGO,FIDELIS HC NY,1667
2019,7,OSWEGO,TOTAL CARE,44
2019,7,OSWEGO,UNITED HEALTHCARE COMM PLAN,350
2019,7,OTSEGO,CDPHP,117
2019,7,OTSEGO,EXCELLUS,462
2019,7,OTSEGO,FIDELIS HC NY,628
2019,7,PUTNAM,AMERIGROUP NY,376
2019,7,PUTNAM,FIDELIS HC NY,1389
2019,7,PUTNAM,MVP,161
2019,7,QUEENS,AFFINITY HEALTH PLAN,1319
2019,7,QUEENS,AMERIGROUP NY,9702
2019,7,QUEENS,FIDELIS HC NY,12507
2019,7,QUEENS,HEALTHFIRST,15209
2019,7,QUEENS,HIP,2894
2019,7,QUEENS,METROPLUS,8632
2019,7,QUEENS,UNITED HEALTHCARE COMM PLAN,6254
2019,7,QUEENS,WELLCARE,1969
2019,7,RENSSELAER,CDPHP,1994
2019,7,RENSSELAER,FIDELIS HC NY,796
2019,7,RENSSELAER,MVP,147
2019,7,RENSSELAER,UNITED HEALTHCARE COMM PLAN,23
2019,7,RENSSELAER,WELLCARE,27
2019,7,RICHMOND,AFFINITY HEALTH PLAN,53
2019,7,RICHMOND,AMERIGROUP NY,2926
2019,7,RICHMOND,FIDELIS HC NY,2772
2019,7,RICHMOND,HEALTHFIRST,1097
2019,7,RICHMOND,HIP,296
2019,7,RICHMOND,METROPLUS,299
2019,7,RICHMOND,UNITED HEALTHCARE COMM PLAN,856
2019,7,RICHMOND,WELLCARE,7
2019,7,ROCKLAND,AFFINITY HEALTH PLAN,521
2019,7,ROCKLAND,FIDELIS HC NY,10877
2019,7,ROCKLAND,MVP,1727
2019,7,ROCKLAND,UNITED HEALTHCARE COMM PLAN,652
2019,7,ROCKLAND,WELLCARE,375
2019,7,SARATOGA,CDPHP,2456
2019,7,SARATOGA,FIDELIS HC NY,1893
2019,7,SARATOGA,MVP,307
2019,7,SCHENECTADY,CDPHP,1615
2019,7,SCHENECTADY,FIDELIS HC NY,1743
2019,7,SCHENECTADY,MVP,229
2019,7,SCHENECTADY,WELLCARE,18
2019,7,SCHOHARIE,CDPHP,427
2019,7,SCHOHARIE,FIDELIS HC NY,227
2019,7,SCHUYLER,EXCELLUS,119
2019,7,SCHUYLER,FIDELIS HC NY,219
2019,7,SCHUYLER,WELLCARE,1
2019,7,SENECA,EXCELLUS,467
2019,7,SENECA,FIDELIS HC NY,129
2019,7,SENECA,UNITED HEALTHCARE COMM PLAN,22
2019,7,ST. LAWRENCE,EXCELLUS,696
2019,7,ST. LAWRENCE,FIDELIS HC NY,950
2019,7,ST. LAWRENCE,UNITED HEALTHCARE COMM PLAN,221
2019,7,STEUBEN,EXCELLUS,566
2019,7,STEUBEN,FIDELIS HC NY,978
2019,7,STEUBEN,WELLCARE,4
2019,7,SUFFOLK,AFFINITY HEALTH PLAN,3681
2019,7,SUFFOLK,AMERIGROUP NY,3230
2019,7,SUFFOLK,FIDELIS HC NY,10704
2019,7,SUFFOLK,HEALTHFIRST,10488
2019,7,SUFFOLK,HIP,1815
2019,7,SUFFOLK,UNITED HEALTHCARE COMM PLAN,12306
2019,7,SUFFOLK,WELLCARE,52
2019,7,SULLIVAN,FIDELIS HC NY,733
2019,7,SULLIVAN,MVP,1037
2019,7,TIOGA,CDPHP,89
2019,7,TIOGA,EXCELLUS,311
2019,7,TIOGA,FIDELIS HC NY,503
2019,7,TIOGA,UNITED HEALTHCARE COMM PLAN,34
2019,7,TOMPKINS,EXCELLUS,512
2019,7,TOMPKINS,FIDELIS HC NY,762
2019,7,TOMPKINS,TOTAL CARE,188
2019,7,ULSTER,CDPHP,150
2019,7,ULSTER,FIDELIS HC NY,2446
2019,7,ULSTER,MVP,1374
2019,7,ULSTER,UNITED HEALTHCARE COMM PLAN,87
2019,7,ULSTER,WELLCARE,178
2019,7,WARREN,CDPHP,326
2019,7,WARREN,FIDELIS HC NY,1276
2019,7,WARREN,MVP,82
2019,7,WARREN,UNITED HEALTHCARE COMM PLAN,24
2019,7,WASHINGTON,CDPHP,537
2019,7,WASHINGTON,FIDELIS HC NY,1333
2019,7,WASHINGTON,MVP,59
2019,7,WAYNE,EXCELLUS,2117
2019,7,WAYNE,FIDELIS HC NY,424
2019,7,WAYNE,UNITED HEALTHCARE COMM PLAN,92
2019,7,WESTCHESTER,AFFINITY HEALTH PLAN,1394
2019,7,WESTCHESTER,AMERIGROUP NY,1521
2019,7,WESTCHESTER,FIDELIS HC NY,4502
2019,7,WESTCHESTER,HEALTHFIRST,53
2019,7,WESTCHESTER,HIP,843
2019,7,WESTCHESTER,MVP,8470
2019,7,WESTCHESTER,UNITED HEALTHCARE COMM PLAN,925
2019,7,WYOMING,FIDELIS HC NY,608
2019,7,WYOMING,HEALTHNOW,246
2019,7,WYOMING,UNIVERA COMMUNITY HEALTH INC,21
2019,7,YATES,EXCELLUS,453
2019,7,YATES,FIDELIS HC NY,70
2019,6,ALBANY,CDPHP,3310
2019,6,ALBANY,FIDELIS HC NY,1505
2019,6,ALBANY,MVP,313
2019,6,ALBANY,UNITED HEALTHCARE COMM PLAN,88
2019,6,ALBANY,WELLCARE,62
2019,6,ALLEGANY,FIDELIS HC NY,421
2019,6,ALLEGANY,HEALTHNOW,139
2019,6,ALLEGANY,UNIVERA COMMUNITY HEALTH INC,142
2019,6,BRONX,AFFINITY HEALTH PLAN,1969
2019,6,BRONX,AMERIGROUP NY,1764
2019,6,BRONX,FIDELIS HC NY,3111
2019,6,BRONX,HEALTHFIRST,8343
2019,6,BRONX,HIP,706
2019,6,BRONX,METROPLUS,4225
2019,6,BRONX,UNITED HEALTHCARE COMM PLAN,1191
2019,6,BRONX,WELLCARE,742
2019,6,BROOME,CDPHP,139
2019,6,BROOME,EXCELLUS,2074
2019,6,BROOME,FIDELIS HC NY,851
2019,6,BROOME,UNITED HEALTHCARE COMM PLAN,111
2019,6,CATTARAUGUS,FIDELIS HC NY,863
2019,6,CATTARAUGUS,HEALTHNOW,279
2019,6,CATTARAUGUS,UNIVERA COMMUNITY HEALTH INC,355
2019,6,CAYUGA,EXCELLUS,552
2019,6,CAYUGA,FIDELIS HC NY,1108
2019,6,CAYUGA,UNITED HEALTHCARE COMM PLAN,152
2019,6,CHAUTAUQUA,FIDELIS HC NY,1866
2019,6,CHAUTAUQUA,HEALTHNOW,207
2019,6,CHAUTAUQUA,UNITED HEALTHCARE COMM PLAN,8
2019,6,CHAUTAUQUA,UNIVERA COMMUNITY HEALTH INC,146
2019,6,CHEMUNG,EXCELLUS,288
2019,6,CHEMUNG,FIDELIS HC NY,732
2019,6,CHEMUNG,UNITED HEALTHCARE COMM PLAN,87
2019,6,CHENANGO,CDPHP,26
2019,6,CHENANGO,EXCELLUS,375
2019,6,CHENANGO,FIDELIS HC NY,657
2019,6,CHENANGO,UNITED HEALTHCARE COMM PLAN,56
2019,6,CLINTON,CDPHP,9
2019,6,CLINTON,EXCELLUS,368
2019,6,CLINTON,FIDELIS HC NY,1188
2019,6,CLINTON,UNITED HEALTHCARE COMM PLAN,43
2019,6,COLUMBIA,CDPHP,658
2019,6,COLUMBIA,FIDELIS HC NY,708
2019,6,COLUMBIA,MVP,60
2019,6,COLUMBIA,UNITED HEALTHCARE COMM PLAN,13
2019,6,CORTLAND,EXCELLUS,254
2019,6,CORTLAND,FIDELIS HC NY,793
2019,6,CORTLAND,TOTAL CARE,24
2019,6,DELAWARE,CDPHP,56
2019,6,DELAWARE,EXCELLUS,140
2019,6,DELAWARE,FIDELIS HC NY,539
2019,6,DUTCHESS,CDPHP,115
2019,6,DUTCHESS,FIDELIS HC NY,3091
2019,6,DUTCHESS,MVP,2250
2019,6,DUTCHESS,WELLCARE,423
2019,6,ERIE,EXCELLUS,175
2019,6,ERIE,FIDELIS HC NY,4203
2019,6,ERIE,HEALTHNOW,2029
2019,6,ERIE,INDEPENDENT HEALTH,5230
2019,6,ERIE,UNIVERA COMMUNITY HEALTH INC,1832
2019,6,ERIE,WELLCARE,153
2019,6,ESSEX,CDPHP,28
2019,6,ESSEX,EXCELLUS,243
2019,6,ESSEX,FIDELIS HC NY,580
2019,6,ESSEX,UNITED HEALTHCARE COMM PLAN,17
2019,6,FRANKLIN,CDPHP,5
2019,6,FRANKLIN,EXCELLUS,269
2019,6,FRANKLIN,FIDELIS HC NY,540
2019,6,FULTON,CDPHP,229
2019,6,FULTON,EXCELLUS,51
2019,6,FULTON,FIDELIS HC NY,1155
2019,6,FULTON,UNITED HEALTHCARE COMM PLAN,6
2019,6,GENESEE,FIDELIS HC NY,718
2019,6,GENESEE,HEALTHNOW,82
2019,6,GENESEE,MVP,408
2019,6,GENESEE,UNITED HEALTHCARE COMM PLAN,54
2019,6,GREENE,CDPHP,471
2019,6,GREENE,FIDELIS HC NY,480
2019,6,GREENE,MVP,40
2019,6,HAMILTON,EXCELLUS,13
2019,6,HAMILTON,FIDELIS HC NY,81
2019,6,HERKIMER,CDPHP,20
2019,6,HERKIMER,EXCELLUS,358
2019,6,HERKIMER,FIDELIS HC NY,1356
2019,6,HERKIMER,UNITED HEALTHCARE COMM PLAN,13
2019,6,JEFFERSON,EXCELLUS,858
2019,6,JEFFERSON,FIDELIS HC NY,308
2019,6,JEFFERSON,MVP,128
2019,6,JEFFERSON,UNITED HEALTHCARE COMM PLAN,749
2019,6,KINGS,AFFINITY HEALTH PLAN,684
2019,6,KINGS,AMERIGROUP NY,12937
2019,6,KINGS,FIDELIS HC NY,11067
2019,6,KINGS,HEALTHFIRST,11694
2019,6,KINGS,HIP,1460
2019,6,KINGS,METROPLUS,5801
2019,6,KINGS,UNITED HEALTHCARE COMM PLAN,13684
2019,6,KINGS,WELLCARE,828
2019,6,LEWIS,EXCELLUS,384
2019,6,LEWIS,FIDELIS HC NY,282
2019,6,LEWIS,MVP,57
2019,6,LEWIS,UNITED HEALTHCARE COMM PLAN,112
2019,6,LIVINGSTON,EXCELLUS,782
2019,6,LIVINGSTON,FIDELIS HC NY,279
2019,6,LIVINGSTON,MVP,143
2019,6,MADISON,CDPHP,7
2019,6,MADISON,EXCELLUS,398
2019,6,MADISON,FIDELIS HC NY,912
2019,6,MADISON,UNITED HEALTHCARE COMM PLAN,80
2019,6,MONROE,EXCELLUS,11086
2019,6,MONROE,FIDELIS HC NY,1528
2019,6,MONROE,MVP,1375
2019,6,MONROE,UNITED HEALTHCARE COMM PLAN,550
2019,6,MONROE,UNIVERA COMMUNITY HEALTH INC,175
2019,6,MONTGOMERY,CDPHP,351
2019,6,MONTGOMERY,EXCELLUS,46
2019,6,MONTGOMERY,FIDELIS HC NY,897
2019,6,NASSAU,AFFINITY HEALTH PLAN,1270
2019,6,NASSAU,AMERIGROUP NY,6133
2019,6,NASSAU,FIDELIS HC NY,8874
2019,6,NASSAU,HEALTHFIRST,5553
2019,6,NASSAU,HIP,1936
2019,6,NASSAU,UNITED HEALTHCARE COMM PLAN,9213
2019,6,NASSAU,WELLCARE,517
2019,6,NEW YORK,AFFINITY HEALTH PLAN,598
2019,6,NEW YORK,AMERIGROUP NY,1738
2019,6,NEW YORK,FIDELIS HC NY,1884
2019,6,NEW YORK,HEALTHFIRST,4025
2019,6,NEW YORK,HIP,564
2019,6,NEW YORK,METROPLUS,1165
2019,6,NEW YORK,UNITED HEALTHCARE COMM PLAN,906
2019,6,NEW YORK,WELLCARE,263
2019,6,NIAGARA,FIDELIS HC NY,2613
2019,6,NIAGARA,HEALTHNOW,203
2019,6,NIAGARA,INDEPENDENT HEALTH,710
2019,6,NIAGARA,UNITED HEALTHCARE COMM PLAN,160
2019,6,NIAGARA,WELLCARE,26
2019,6,ONEIDA,CDPHP,28
2019,6,ONEIDA,EXCELLUS,1497
2019,6,ONEIDA,FIDELIS HC NY,3262
2019,6,ONEIDA,MVP,62
2019,6,ONEIDA,UNITED HEALTHCARE COMM PLAN,204
2019,6,ONONDAGA,EXCELLUS,2165
2019,6,ONONDAGA,FIDELIS HC NY,4691
2019,6,ONONDAGA,TOTAL CARE,715
2019,6,ONONDAGA,UNITED HEALTHCARE COMM PLAN,721
2019,6,ONTARIO,EXCELLUS,2104
2019,6,ONTARIO,FIDELIS HC NY,258
2019,6,ONTARIO,MVP,176
2019,6,ONTARIO,UNITED HEALTHCARE COMM PLAN,43
2019,6,ONTARIO,UNIVERA COMMUNITY HEALTH INC,22
2019,6,ORANGE,AFFINITY HEALTH PLAN,1622
2019,6,ORANGE,CDPHP,92
2019,6,ORANGE,FIDELIS HC NY,5540
2019,6,ORANGE,MVP,2770
2019,6,ORANGE,UNITED HEALTHCARE COMM PLAN,492
2019,6,ORANGE,WELLCARE,379
2019,6,ORLEANS,EXCELLUS,304
2019,6,ORLEANS,FIDELIS HC NY,514
2019,6,ORLEANS,HEALTHNOW,119
2019,6,OSWEGO,EXCELLUS,445
2019,6,OSWEGO,FIDELIS HC NY,1676
2019,6,OSWEGO,TOTAL CARE,50
2019,6,OSWEGO,UNITED HEALTHCARE COMM PLAN,358
2019,6,OTSEGO,CDPHP,112
2019,6,OTSEGO,EXCELLUS,459
2019,6,OTSEGO,FIDELIS HC NY,636
2019,6,PUTNAM,AMERIGROUP NY,373
2019,6,PUTNAM,FIDELIS HC NY,1358
2019,6,PUTNAM,MVP,162
2019,6,QUEENS,AFFINITY HEALTH PLAN,1337
2019,6,QUEENS,AMERIGROUP NY,9756
2019,6,QUEENS,FIDELIS HC NY,12560
2019,6,QUEENS,HEALTHFIRST,14983
2019,6,QUEENS,HIP,2886
2019,6,QUEENS,METROPLUS,8465
2019,6,QUEENS,UNITED HEALTHCARE COMM PLAN,6183
2019,6,QUEENS,WELLCARE,1905
2019,6,RENSSELAER,CDPHP,1978
2019,6,RENSSELAER,FIDELIS HC NY,810
2019,6,RENSSELAER,MVP,143
2019,6,RENSSELAER,UNITED HEALTHCARE COMM PLAN,26
2019,6,RENSSELAER,WELLCARE,26
2019,6,RICHMOND,AFFINITY HEALTH PLAN,49
2019,6,RICHMOND,AMERIGROUP NY,2926
2019,6,RICHMOND,FIDELIS HC NY,2780
2019,6,RICHMOND,HEALTHFIRST,1057
2019,6,RICHMOND,HIP,295
2019,6,RICHMOND,METROPLUS,281
2019,6,RICHMOND,UNITED HEALTHCARE COMM PLAN,844
2019,6,RICHMOND,WELLCARE,5
2019,6,ROCKLAND,AFFINITY HEALTH PLAN,514
2019,6,ROCKLAND,FIDELIS HC NY,10745
2019,6,ROCKLAND,MVP,1677
2019,6,ROCKLAND,UNITED HEALTHCARE COMM PLAN,661
2019,6,ROCKLAND,WELLCARE,381
2019,6,SARATOGA,CDPHP,2446
2019,6,SARATOGA,FIDELIS HC NY,1902
2019,6,SARATOGA,MVP,306
2019,6,SCHENECTADY,CDPHP,1643
2019,6,SCHENECTADY,FIDELIS HC NY,1776
2019,6,SCHENECTADY,MVP,220
2019,6,SCHENECTADY,WELLCARE,16
2019,6,SCHOHARIE,CDPHP,430
2019,6,SCHOHARIE,FIDELIS HC NY,227
2019,6,SCHUYLER,EXCELLUS,118
2019,6,SCHUYLER,FIDELIS HC NY,215
2019,6,SCHUYLER,WELLCARE,1
2019,6,SENECA,EXCELLUS,459
2019,6,SENECA,FIDELIS HC NY,132
2019,6,SENECA,UNITED HEALTHCARE COMM PLAN,24
2019,6,STEUBEN,EXCELLUS,584
2019,6,STEUBEN,FIDELIS HC NY,965
2019,6,STEUBEN,WELLCARE,4
2019,6,ST. LAWRENCE,EXCELLUS,702
2019,6,ST. LAWRENCE,FIDELIS HC NY,950
2019,6,ST. LAWRENCE,UNITED HEALTHCARE COMM PLAN,247
2019,6,SUFFOLK,AFFINITY HEALTH PLAN,3660
2019,6,SUFFOLK,AMERIGROUP NY,3307
2019,6,SUFFOLK,FIDELIS HC NY,10530
2019,6,SUFFOLK,HEALTHFIRST,10379
2019,6,SUFFOLK,HIP,1826
2019,6,SUFFOLK,UNITED HEALTHCARE COMM PLAN,12169
2019,6,SUFFOLK,WELLCARE,37
2019,6,SULLIVAN,FIDELIS HC NY,713
2019,6,SULLIVAN,MVP,1046
2019,6,TIOGA,CDPHP,89
2019,6,TIOGA,EXCELLUS,323
2019,6,TIOGA,FIDELIS HC NY,508
2019,6,TIOGA,UNITED HEALTHCARE COMM PLAN,28
2019,6,TOMPKINS,EXCELLUS,519
2019,6,TOMPKINS,FIDELIS HC NY,767
2019,6,TOMPKINS,TOTAL CARE,198
2019,6,ULSTER,CDPHP,153
2019,6,ULSTER,FIDELIS HC NY,2433
2019,6,ULSTER,MVP,1356
2019,6,ULSTER,UNITED HEALTHCARE COMM PLAN,89
2019,6,ULSTER,WELLCARE,175
2019,6,WARREN,CDPHP,331
2019,6,WARREN,FIDELIS HC NY,1251
2019,6,WARREN,MVP,85
2019,6,WARREN,UNITED HEALTHCARE COMM PLAN,23
2019,6,WASHINGTON,CDPHP,556
2019,6,WASHINGTON,FIDELIS HC NY,1313
2019,6,WASHINGTON,MVP,59
2019,6,WAYNE,EXCELLUS,2148
2019,6,WAYNE,FIDELIS HC NY,425
2019,6,WAYNE,UNITED HEALTHCARE COMM PLAN,87
2019,6,WESTCHESTER,AFFINITY HEALTH PLAN,1395
2019,6,WESTCHESTER,AMERIGROUP NY,1531
2019,6,WESTCHESTER,FIDELIS HC NY,4487
2019,6,WESTCHESTER,HEALTHFIRST,33
2019,6,WESTCHESTER,HIP,864
2019,6,WESTCHESTER,MVP,8473
2019,6,WESTCHESTER,UNITED HEALTHCARE COMM PLAN,968
2019,6,WYOMING,FIDELIS HC NY,624
2019,6,WYOMING,HEALTHNOW,246
2019,6,WYOMING,UNIVERA COMMUNITY HEALTH INC,22
2019,6,YATES,EXCELLUS,447
2019,6,YATES,FIDELIS HC NY,74
2019,5,ALBANY,CDPHP,3346
2019,5,ALBANY,FIDELIS HC NY,1491
2019,5,ALBANY,MVP,303
2019,5,ALBANY,UNITED HEALTHCARE COMM PLAN,90
2019,5,ALBANY,WELLCARE,58
2019,5,ALLEGANY,FIDELIS HC NY,420
2019,5,ALLEGANY,HEALTHNOW,144
2019,5,ALLEGANY,UNIVERA COMMUNITY HEALTH INC,140
2019,5,BRONX,AFFINITY HEALTH PLAN,2034
2019,5,BRONX,AMERIGROUP NY,1798
2019,5,BRONX,FIDELIS HC NY,3057
2019,5,BRONX,HEALTHFIRST,8241
2019,5,BRONX,HIP,725
2019,5,BRONX,METROPLUS,4132
2019,5,BRONX,UNITED HEALTHCARE COMM PLAN,1175
2019,5,BRONX,WELLCARE,736
2019,5,BROOME,CDPHP,138
2019,5,BROOME,EXCELLUS,2019
2019,5,BROOME,FIDELIS HC NY,840
2019,5,BROOME,UNITED HEALTHCARE COMM PLAN,118
2019,5,CATTARAUGUS,FIDELIS HC NY,857
2019,5,CATTARAUGUS,HEALTHNOW,277
2019,5,CATTARAUGUS,UNIVERA COMMUNITY HEALTH INC,330
2019,5,CAYUGA,EXCELLUS,569
2019,5,CAYUGA,FIDELIS HC NY,1095
2019,5,CAYUGA,UNITED HEALTHCARE COMM PLAN,141
2019,5,CHAUTAUQUA,FIDELIS HC NY,1855
2019,5,CHAUTAUQUA,HEALTHNOW,209
2019,5,CHAUTAUQUA,UNITED HEALTHCARE COMM PLAN,9
2019,5,CHAUTAUQUA,UNIVERA COMMUNITY HEALTH INC,135
2019,5,CHEMUNG,EXCELLUS,285
2019,5,CHEMUNG,FIDELIS HC NY,726
2019,5,CHEMUNG,UNITED HEALTHCARE COMM PLAN,88
2019,5,CHENANGO,CDPHP,25
2019,5,CHENANGO,EXCELLUS,373
2019,5,CHENANGO,FIDELIS HC NY,645
2019,5,CHENANGO,UNITED HEALTHCARE COMM PLAN,60
2019,5,CLINTON,CDPHP,9
2019,5,CLINTON,EXCELLUS,373
2019,5,CLINTON,FIDELIS HC NY,1155
